Artikelnr.;EAN;Beschreibung;Beschreibung 2;Bestand;Preis
32398000;4717784700274;29x 12.00 - 15 (300/60-15), 101A8, #E, 4PR, TL,;Maxxis, C-165S;35;135
32400010;4717784700601;31x 13.50 -15, 8PR, TL,;CST, C-769;40;130
32401000;4717784700281;33x 12.50 - 15, 4PR, TL,;Maxxis, C-165S;40;151
32604700;6933882586253;3.00 - 5, 4PR, TT,;CST, C-920;40;12,02
33310000;6933882584815;Schlauch 2.50 - 3 (210x65),;Ventil WH767;40;3,31
33310010;6933882584808;Schlauch 2.50 - 3 (210x65),;Ventil WH767 A30;40;3,31
33311300;6933882584846;Schlauch 2.80/2.50 - 4 (2.50-4),;Ventil DIN7777 (90?/90?);0;3,31
33311400;6933882584822;Schlauch 2.80/2.50 - 4 (2.50-4),;Ventil JS87 PA25 (A0);40;3,31
33312000;6933882590830;Schlauch 3.00 - 4 (2.50-4),;Ventil TR87 (90?/90?);40;3,31
33313300;6933882584853;Schlauch 3.00 - 4,;Ventil TR87 (90?/90?);40;3,31
33314500;6933882584884;Schlauch 4.10/3.50 - 4 (3.00-4),;Ventil TR87 (90?/90?);40;3,42
33314510;6933882590861;Schlauch 4.10/3.50 - 4 (3.00-4),;Ventil JS87 PA25 (A0);40;3,31
33314550;6933882584907;Schlauch 4.10/3.50 - 4 (3.00-4),;Ventil DIN7777 28C32;40;3,31
33316100;4717784800950;Schlauch 11x 7.00 - 4 (11x7.10-5),;Ventil TR87;40;8,35
33320500;6933882584938;Schlauch 3.40/ 3.00 - 5,;Ventil TR87;40;4,09
33323500;6933882590885;Schlauch 11x 4.00 - 5,;Ventil TR87;40;4,09
33330910;6933882590908;Schlauch 3.50 - 6 (4.10/3.50-6),;Ventil TR13;17;4,09
33330950;6933882585003;Schlauch 5.30/4.50 - 6,;Ventil TR87;40;4,93
33331000;6933882585089;Schlauch 13x 5.00 - 6,;Ventil TR87;19;4,93
33331050;6933882590953;Schlauch 13x 5.00 - 6,;Ventil TR13;40;4,93
33333050;6933882590960;Schlauch 15x 6.00 - 6,;Ventil TR13;40;4,93
33333060;6933882590977;Schlauch 15x 6.00 - 6,;Ventil TR87;40;4,93
33337000;6933882591011;Schlauch 2.50 - 8,;Ventil TR87;40;4,39
