sysnr;itemcode;description ;type ;brand;brand description ;group ;group description ;E-mark;European;width tyre;aspect ratio;diameter;LI/SI;nett-price;gross;available;eancode;ip-code;photolink;;;;;weight;3pmsf;rim protection;season;ms;age;demo;runflat;;Fuel effeciency;Wet grip;Rollnoise;Noiselevel;Snowgrip;Icegrip;EPREL-id;EPREL-url;wcat;
051041;165 60HR 12TA539;165/60 HR12 TL 71H  YOKO A539;A539;YO;YOKOHAMA;11;LUXE BANDEN;J;N;165;60;12;71H;55,13;105,50;>  20;4968814998035;R6094;https://www.etyre.net/preview/t3/yo-a539.jpg;;;;;5,523;N;;Summer;;;;;;D;C;69;B;N;N;631522;https://eprel.ec.europa.eu/qr/631522;1;
051138;265 60VR 18TG038G;265/60 VR18 TL 110V YOKO G038 G GEOLAN H/T;G038G;YO;YOKOHAMA;17;4 X 4;J;N;265;60;18;110V;116,14;196,00;>  20;4968814998745;R6149;https://www.etyre.net/preview/t3/yo-g038g.jpg;;;;;17,791;N;;Summer;J;;;;;D;D;70;B;N;N;631640;https://eprel.ec.europa.eu/qr/631640;2;
051257;255 40YR 19TPZEROAOXL;255/40 YR19 TL 100Y PI PZERO (AO) XL;PZEROAOXL;PI;PIRELLI;11;LUXE BANDEN;J;J;255;40;19;100Y;145,07;364,00;>  20;8019227199642;1996400;https://www.etyre.net/preview/t3/pi-pzero.jpg;;;;;12,765;N;;Summer;;;;;;C;B;73;B;N;N;594397;https://eprel.ec.europa.eu/qr/594397;2;
052760;750    R 16TSUPGRIP112;750     R16 TL 112N GE SUP ALL GRIP #;SUPGRIP112;GE;GENERAL;17;4 X 4;J;N;750;80;16;112N;145,28;233,00;>  20;4032344820378;0450856;https://www.etyre.net/preview/t3/ge-supgrip112.jpg;;;;;17,825;;;Summer;J;;;;;;;;;;;;;2;
133817;P22570TR 15TCOBRAGT;P225/70TR15 TL 100T CP COBRA GT RWL;COBRAGT;CP;COOPER;11;LUXE BANDEN;J;N;225;70;15;100T;102,05;208,50;>  20;0029142338024;589862;https://www.etyre.net/preview/t3/cp-cobragt.jpg;;;;;11,757;;;Summer;;;;;;;;;;;;;;3;
134098;285 30ZR 21TSPWIN4DR01;285/30 WR21 TL 100W DU SP WIN SPORT 4D XL R01;SPWIN4DR01;DU;DUNLOP;13;LUXE BANDEN M&S;J;J;285;30;21;100W;348,88;644,00;>  20;3188649818501;528420;https://www.etyre.net/preview/t3/du-spwin4dr01.jpg;;;;;13,656;J;;Winter;J;;;;;C;C;75;B;J;N;529218;https://eprel.ec.europa.eu/qr/529218;2;
136082;195 40VR 17TEFFIPERF;195/40 VR17 TL 81V  GY EFFIGRIP PERF VW XL FP;EFFIPERF;GY;GOODYEAR;11;LUXE BANDEN;J;J;195;40;17;81V;102,25;184,00;>  20;5452000564610;536088;https://www.etyre.net/preview/t3/gy-effgripper.jpg;;;;;7,076;N;;Summer;;;;;;B;A;71;B;N;N;529548;https://eprel.ec.europa.eu/qr/529548;1;
136084;225 35YR 19TPZEROX;225/35 YR19 TL 88Y  PI PZERO XL LRR;PZEROX;PI;PIRELLI;11;LUXE BANDEN;J;J;225;35;19;88Y;121,85;324,00;>  20;8019227261516;2615100;https://www.etyre.net/preview/t3/pi-pzero.jpg;;;;;9,558;N;;Summer;;;;;;C;A;71;B;N;N;595254;https://eprel.ec.europa.eu/qr/595254;1;
137045;235 55VR 17TSPMAXXRTAU;235/55 VR17 TL 99V  DU SPORTMAXX RT AO AU1;SPMAXXRTAU;DU;DUNLOP;11;LUXE BANDEN;J;J;235;55;17;99V;121,64;225,00;>  20;5452000488367;532437;https://www.etyre.net/preview/t3/du-spmaxxrt.jpg;;;;;11,405;N;;Summer;;;;;;C;A;69;B;N;N;529431;https://eprel.ec.europa.eu/qr/529431;3;
137463;245 45YR 19TSPMAXXRTMO;245/45 YR19 TL 102Y DU SPORTMAXX RT MO XL MFS;SPMAXXRTMO;DU;DUNLOP;11;LUXE BANDEN;J;J;245;45;19;102Y;165,54;307,00;>  20;5452000421333;529238;https://www.etyre.net/preview/t3/du-spmaxxrt.jpg;;;;;13,064;N;;Summer;;;;;;C;A;70;B;N;N;529304;https://eprel.ec.europa.eu/qr/529304;3;
138300;215 65 R 16TRA18;215/65  R16 TL 109R HA VANTRA LT RA18;RA18;HA;HANKOOK;16;BESTELWAGEN BANDEN;J;N;215;65;16;109R;84,53;168,00;>  20;8808563332789;2002009;https://www.etyre.net/preview/t3/ha-ra18.jpg;;;;;14,342;N;;Summer;N;;;;;C;B;71;B;N;N;489516;https://eprel.ec.europa.eu/qr/489516;3;
138325;175 75QR 14TRA08;175/75 QR14 TL 99Q  HA RADIAL RA08;RA08;HA;HANKOOK;16;BESTELWAGEN BANDEN;J;N;175;75;14;99Q;64,58;118,50;>  20;8808563231525;2001153;https://www.etyre.net/preview/t3/ha-ra08.jpg;;;;;9,389;N;;Summer;;;;;;D;C;69;A;N;N;493987;https://eprel.ec.europa.eu/qr/493987;1;
138611;255 55VR 19TSCORPZEROX;255/55 VR19 TL 111V PI SCORPION ZERO XL;SCORPZEROX;PI;PIRELLI;17;4 X 4;J;N;255;55;19;111V;123,56;315,00;>  20;8019227178043;1780400;https://www.etyre.net/preview/t3/pi-scorpzero.jpg;;;;;16,011;N;;Summer;J;;;;;C;C;72;B;N;N;594232;https://eprel.ec.europa.eu/qr/594232;2;
139949;205    R 16TWRANAT/S;205     R16 TL 110S GY WRANG AT/S;WRANAT/S;GY;GOODYEAR;17;4 X 4;J;J;205;80;16;110S;95,15;175,50;>  20;5452000710536;543794;https://www.etyre.net/preview/t3/gy-wranats.jpg;;;;;14,381;N;;Summer;J;;;;;D;C;73;B;N;N;529761;https://eprel.ec.europa.eu/qr/529761;3;
151102;225 35YR 19TPZERORFT*;225/35 YR19 TL 88Y  PI PZERO RFT XL (*);PZERORFT*;PI;PIRELLI;25;RUNFLAT BANDEN;J;J;225;35;19;88Y;134,02;362,00;>  20;8019227202274;2022700;https://www.etyre.net/preview/t3/pi-pzero.jpg;;;;;10,152;N;;Summer;;;;J;;D;B;72;B;N;N;594423;https://eprel.ec.europa.eu/qr/594423;1;
151384;155   SR 15TSPCLASSIC;155    SR15 TL 82S  VR SPRINT CLASSIC;SPCLASSIC;VR;VREDESTEIN;11;LUXE BANDEN;J;J;155;80;15;82S;85,94;150,50;>  20;8714692053306;AP15580015SSPCA00;https://www.etyre.net/preview/t3/vr-spclassic.jpg;;;;;6,983;;;Summer;;;;;;;;;;;;;;1;
151385;165   HR 15TSPCLASSIC;165    HR15 TL 86H  VR SPRINT CLASSIC;SPCLASSIC;VR;VREDESTEIN;11;LUXE BANDEN;J;J;165;80;15;86H;125,94;219,50;>  20;8714692150326;AP16580015HSPCA01;https://www.etyre.net/preview/t3/vr-spclassic.jpg;;;;;7,570;;;Summer;;;;;;;;;;;;;;1;
151716;165    R 13TRA08;165     R13 TL 94P  HA RADIAL RA08;RA08;HA;HANKOOK;16;BESTELWAGEN BANDEN;J;N;165;80;13;94P;56,75;112,00;>  20;8808563135519;2000175;https://www.etyre.net/preview/t3/ha-ra08.jpg;;;;;8,147;N;;Summer;;;;;;D;C;69;A;N;N;634659;https://eprel.ec.europa.eu/qr/634659;1;
151723;165 75 R 14TRA08;165/75  R14 TL 97R  HA RADIAL RA08;RA08;HA;HANKOOK;16;BESTELWAGEN BANDEN;J;N;165;75;14;97R;64,43;118,00;>  20;8808563231518;2001152;https://www.etyre.net/preview/t3/ha-ra08.jpg;;;;;8,532;N;;Summer;;;;;;D;C;69;A;N;N;493984;https://eprel.ec.europa.eu/qr/493984;1;
151899;265 70HR 15TGRABUHPBSB;265/70 HR15 TL 112H GE GRABBER UHP BSW;GRABUHPBSB;GE;GENERAL;17;4 X 4;J;J;265;70;15;112H;106,75;163,00;>  20;4032344279589;1547708;https://www.etyre.net/preview/t3/ge-grabuhp.jpg;;;;;16,384;N;;Summer;J;;;;;D;C;72;B;N;N;587924;https://eprel.ec.europa.eu/qr/587924;2;
151902;255 60HR 15TGRABHP OWL;255/60 HR15 TL 102H GE GRABBER HP OWL FR;GRABHP OWL;GE;GENERAL;17;4 X 4;J;N;255;60;15;102H;114,57;166,50;>  20;4032344000756;0450913;https://www.etyre.net/preview/t3/ge-grabhpowl.jpg;;;;;13,508;N;;Summer;J;;;;;D;C;72;B;N;N;525904;https://eprel.ec.europa.eu/qr/525904;2;
156120;205 50VR 17TEFFIGRIPFP;205/50 VR17 TL 89V  GY EFFICIENTGRIP FP;EFFIGRIPFP;GY;GOODYEAR;11;LUXE BANDEN;J;J;205;50;17;89V;100,23;185,00;4;5452000661036;529009;https://www.etyre.net/preview/t3/gy-effigrip.jpg;;;;;8,790;N;;Summer;;;;;;B;A;70;B;N;N;529255;https://eprel.ec.europa.eu/qr/529255;1;
156785;185 60HR 16TTS810SSSR;185/60 HR16 TL 86H  CO TS810S SSR;TS810SSSR;CO;CONTINENTAL;28;RUNFLAT BANDEN M&S;J;J;185;60;16;86H;39,53;147,50;4;4019238369335;0353329;https://www.etyre.net/preview/t3/co-ts810sssr.jpg;;;;;10,713;J;;Winter;J;;;J;;E;D;71;B;J;N;506068;https://eprel.ec.europa.eu/qr/506068;1;
160120;225 50WR 16TRE050IRFT*;225/50 WR16 TL 92W  BR RE050-I POTENZA RFT *;RE050IRFT*;BR;BRIDGESTONE;25;RUNFLAT BANDEN;J;J;225;50;16;92W;142,90;292,00;>  20;3286347895715;78957;https://www.etyre.net/preview/t3/br-potre050.jpg;;;;;13,112;N;;Summer;;;;J;;D;C;71;B;N;N;417004;https://eprel.ec.europa.eu/qr/417004;1;
160324;275 55VR 20TRH06XL;275/55 VR20 TL 117V HA RH06 VENTUS ST XL;RH06XL;HA;HANKOOK;17;4 X 4;J;N;275;55;20;117V;170,09;319,00;8;8808563217048;1004295;https://www.etyre.net/preview/t3/ha-rh06.jpg;;;;;18,521;N;;Summer;J;;;;;C;C;72;B;N;N;549787;https://eprel.ec.europa.eu/qr/549787;4;
161548;195 40ZR 17TK107XL;195/40 ZR17 TL 81W  HA K107 VEN S1 EVO XL;K107XL;HA;HANKOOK;11;LUXE BANDEN;J;N;195;40;17;81W;66,80;125,00;>  20;8808563228631;1005054;https://www.etyre.net/preview/t3/ha-k107.jpg;;;;;7,478;N;;Summer;;;;;;C;C;71;B;N;N;494891;https://eprel.ec.europa.eu/qr/494891;1;
162637;195 65TR 15TK425VW2;195/65 TR15 TL 91T  HA K425 KINERGY ECO VW;K425VW2;HA;HANKOOK;11;LUXE BANDEN;J;N;195;65;15;91T;50,29;84,50;>  20;8808563313719;1011705;https://www.etyre.net/preview/t3/ha-k425.jpg;;;;;8,608;N;;Summer;;;;;;D;C;71;B;N;N;499163;https://eprel.ec.europa.eu/qr/499163;1;
163035;205 70VR 14TSPCLASSIC;205/70 VR14 TL 95V  VR SPRINT CLASSIC;SPCLASSIC;VR;VREDESTEIN;11;LUXE BANDEN;J;J;205;70;14;95V;195,78;354,00;>  20;8714692113703;AP20570014VSPCA00;https://www.etyre.net/preview/t3/vr-spclassic.jpg;;;;;9,133;;;Summer;;;;;;;;;;;;;;1;
163148;255 70 R 15TD840;255/70  R15 TL 112S BR DUELER H/T 840;D840;BR;BRIDGESTONE;17;4 X 4;J;N;255;70;15;112S;113,26;248,50;>  20;3286347908712;79087;https://www.etyre.net/preview/t3/br-d840.jpg;;;;;16,085;N;;Summer;J;;;;;B;C;72;B;N;N;383182;https://eprel.ec.europa.eu/qr/383182;2;
163221;285 55VR 18TRH06;285/55 VR18 TL 113V HA RH06 VENTUS ST;RH06;HA;HANKOOK;17;4 X 4;J;N;285;55;18;113V;110,68;230,50;>  20;8808563217512;1004330;https://www.etyre.net/preview/t3/ha-rh06.jpg;;;;;18,014;N;;Summer;J;;;;;C;C;74;B;N;N;488964;https://eprel.ec.europa.eu/qr/488964;2;
163843;155 80TR 13TRGS01;155/80 TR13 TL 79T  ROADHOG RGS01;RGS01;RH;ROADHOG;11;LUXE BANDEN;J;N;155;80;13;79T;30,24;51,00;>  20;6921109022417;RH6921109022417;https://www.etyre.net/preview/t3/rh-rgs01.jpg;;;;;6,148;N;;Summer;;;;;;D;C;69;B;N;N;606194;https://eprel.ec.europa.eu/qr/606194;1;
164063;245 45WR 18TK125;245/45 WR18 TL 96W  HA K125 VEN PRIME 3;K125;HA;HANKOOK;11;LUXE BANDEN;J;N;245;45;18;96W;90,13;180,00;>  20;8808563367286;1016628;https://www.etyre.net/preview/t3/ha-k125.jpg;;;;;12,402;N;;Summer;;;;;;C;B;71;B;N;N;500332;https://eprel.ec.europa.eu/qr/500332;3;
165311;185   HR 14TSPCLASSIC;185    HR14 TL 90H  VR SPRINT CLASSIC;SPCLASSIC;VR;VREDESTEIN;11;LUXE BANDEN;J;J;185;80;14;90H;138,31;233,50;>  20;8714692107092;AP18580014HSPCA00;https://www.etyre.net/preview/t3/vr-spclassic.jpg;;;;;8,822;;;Summer;;;;;;;;;;;;;;1;
165446;265 60HR 18T4X4CONTMO;265/60 HR18 TL 110H CO 4X4CONTACT MO ML FR;4X4CONTMO;CO;CONTINENTAL;17;4 X 4;J;J;265;60;18;110H;139,82;241,00;15;4019238780581;0354913;https://www.etyre.net/preview/t3/co-4x4contact.jpg;;;;;15,858;N;;Summer;J;;;;;D;C;72;B;N;N;482819;https://eprel.ec.europa.eu/qr/482819;2;
165452;255 50YR 20TCROSSUHPXL;255/50 YR20 TL 109Y CO CROSS CONT UHP XL FR;CROSSUHPXL;CO;CONTINENTAL;17;4 X 4;J;J;255;50;20;109Y;179,74;359,00;>  20;4019238779394;0354859;https://www.etyre.net/preview/t3/co-crossuhp.jpg;;;;;14,752;N;;Summer;J;;;;;D;C;73;B;N;N;482479;https://eprel.ec.europa.eu/qr/482479;2;
169006;285 35YR 19TRE050A;285/35 ZR19 TL 99Y  BR RE050A POTENZA F430;RE050A;BR;BRIDGESTONE;11;LUXE BANDEN;J;N;285;35;19;99Y;117,20;474,00;>  20;3286347861017;78610;https://www.etyre.net/preview/t3/br-potre050a.jpg;;;;;13,542;N;;Summer;;;;;;D;C;73;B;N;N;383287;https://eprel.ec.europa.eu/qr/383287;2;
169289;225 60VR 17TG91F;225/60 VR17 TL 99V  YOKO G91F;G91F;YO;YOKOHAMA;11;LUXE BANDEN;J;N;225;60;17;99V;88,72;183,50;>  20;4968814804039;F4952;https://www.etyre.net/preview/t3/yo-g91a.jpg;;;;;11,185;N;;Summer;;;;;;B;C;71;B;N;N;646005;https://eprel.ec.europa.eu/qr/646005;3;
169794;225 35YR 17TS01SDRIVE;225/35 YR17 TL 86Y  YOKO S01 SDRIVE XL;S01SDRIVE;YO;YOKOHAMA;11;LUXE BANDEN;J;N;225;35;17;86Y;99,27;205,50;>  20;4968814998776;R6152;https://www.etyre.net/preview/t3/yo-s01sdrive.jpg;;;;;9,282;N;;Summer;;;;;;D;C;72;B;N;N;631617;https://eprel.ec.europa.eu/qr/631617;1;
170340;205 65 R 16TRA18 HYUND;205/65  R16 TL 107T HA VANTRA LT RA18 HYUNDAI;RA18 HYUND;HA;HANKOOK;16;BESTELWAGEN BANDEN;J;N;205;65;16;107T;92,35;165,00;>  20;8808563330822;2001949;https://www.etyre.net/preview/t3/ha-ra18.jpg;;;;;13,770;N;;Summer;;;;;;E;C;69;B;N;N;493887;https://eprel.ec.europa.eu/qr/493887;1;
172623;205 70TR 15TGRABTR;205/70 TR15 TL 96T  GE GRABBER TR;GRABTR;GE;GENERAL;17;4 X 4;J;J;205;70;15;96T;74,43;113,50;>  20;4032344000787;0450910;https://www.etyre.net/preview/t3/ge-grabtr.jpg;;;;;10,410;N;;Summer;J;;;;;D;C;71;B;N;N;495122;https://eprel.ec.europa.eu/qr/495122;1;
173563;205 60VR 16TK425HYUND;205/60 VR16 TL 92V  HA K425 KINERGY ECO HYUN;K425HYUND;HA;HANKOOK;11;LUXE BANDEN;J;N;205;60;16;92V;63,42;133,50;>  20;8808563377933;1017554;https://www.etyre.net/preview/t3/ha-k425.jpg;;;;;9,359;N;;Summer;;;;;;C;C;71;B;N;N;488970;https://eprel.ec.europa.eu/qr/488970;1;
174294;225 45ZR 18TSPMAXXRTMO;225/45 ZR18 TL 95Y  DU SPORTMAXX RT MO XL MFS;SPMAXXRTMO;DU;DUNLOP;11;LUXE BANDEN;J;J;225;45;18;95Y;126,20;233,50;>  20;5452000572820;537096;https://www.etyre.net/preview/t3/du-spmaxxrtmo.jpg;;;;;9,379;N;;Summer;;;;;;D;B;71;B;N;N;529566;https://eprel.ec.europa.eu/qr/529566;1;
174631;225 40YR 18TK117BRFT;225/40 YR18 TL 88Y  HA K117B S1 EVO 2 RFT;K117BRFT;HA;HANKOOK;25;RUNFLAT BANDEN;J;J;225;40;18;88Y;84,37;146,50;>  20;8808563357157;1015732;https://www.etyre.net/preview/t3/ha-k117.jpg;;;;;11,302;N;;Summer;;;;J;;D;A;71;B;N;N;522244;https://eprel.ec.europa.eu/qr/522244;1;
